repyr,reg_status,appr_trade_code,appr_trade_name,comp_vol,gender,total_reg,mean_age,sd_age,total_NA,total_cont,total_comp,total_disc,mean_reg_dur,mean_date_reg
2011,Already registered (beginning of report period),240P,Parts Technician,Voluntary,Male,179,34.5517869442106,12.5828563948644,0,158,14,7,5.0922782582077,20061128
2011,Already registered (beginning of report period),241A,"Terrazzo, Tile and Marble Setter",Voluntary,Female,3,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),241A,"Terrazzo, Tile and Marble Setter",Voluntary,Male,163,32.5321287503152,7.3443405333279,0,151,9,3,4.69814270106732,20070421
2011,Already registered (beginning of report period),243A,Roofer,Voluntary,Male,1,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),244G,Cement (Concrete ) Finisher,Voluntary,Female,2,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),244G,Cement (Concrete ) Finisher,Voluntary,Male,229,34.6207932045223,9.45714066734973,0,222,0,7,6.24704193336125,20051002
2011,Already registered (beginning of report period),244H,Restoration Mason,Voluntary,Female,1,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),244H,Restoration Mason,Voluntary,Male,11,42.2298879202989,12.0593758078322,0,11,0,0,11.6318804483188,20000516
2011,Already registered (beginning of report period),244K,Precast Concrete Erector,Voluntary,Male,19,47.3900504686373,12.1428169787259,0,18,0,1,14.4614275414564,19970718
2011,Already registered (beginning of report period),244L,Precast Concrete Finisher,Voluntary,Male,2,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),245R,Retail Meat Cutter,Voluntary,Female,3,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),245R,Retail Meat Cutter,Voluntary,Male,108,28.2204464738711,8.849855977028,0,96,7,5,3.97569761542364,20080109
2011,Already registered (beginning of report period),246F,"Process Operator: Refinery, Chemical and Liquid Processes",Voluntary,Female,7,37.5894324853229,13.1045201337316,0,6,1,0,2.8133072407045,20090309
2011,Already registered (beginning of report period),246F,"Process Operator: Refinery, Chemical and Liquid Processes",Voluntary,Male,202,37.4935168859352,10.1720728707308,0,162,39,1,4.48422623084226,20070708
2011,Already registered (beginning of report period),246R,Process Operator: Power,Voluntary,Female,38,30.5519826964672,7.82475125187567,0,30,8,0,2.52155731795242,20090623
2011,Already registered (beginning of report period),246R,Process Operator: Power,Voluntary,Male,296,34.0173546834506,10.748569599769,0,230,66,0,2.28769900037023,20090916
2011,Already registered (beginning of report period),246T,Process Operator: Food Manufacturing,Voluntary,Female,29,43.2230514879546,10.0996541513039,0,29,0,0,2.28578176665092,20090917
2011,Already registered (beginning of report period),246T,Process Operator: Food Manufacturing,Voluntary,Male,47,43.5974934421451,8.32434955080906,0,47,0,0,3.11110463421743,20081120
2011,Already registered (beginning of report period),253A,Heat and Frost Insulator,Voluntary,Female,2,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),253A,Heat and Frost Insulator,Voluntary,Male,404,32.8283737962837,8.40316123135468,0,346,57,1,3.48996337989963,20080705
2011,Already registered (beginning of report period),253H,Hazardous Materials Worker,Voluntary,Female,2,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),253H,Hazardous Materials Worker,Voluntary,Male,47,39.0920431361119,13.3671502127221,0,40,6,1,1.27729524919848,20100920
2011,Already registered (beginning of report period),255B,Facilities Technician,Voluntary,Female,6,43.358904109589,11.9756728454535,0,5,0,1,4.36986301369863,20070819
2011,Already registered (beginning of report period),255B,Facilities Technician,Voluntary,Male,96,41.4028538812785,11.6014269354619,0,88,4,4,8.17545662100457,20031029
2011,Already registered (beginning of report period),255W,Facilities Mechanic,Voluntary,Female,15,45.5077625570776,10.1722364665512,0,15,0,0,10.4431050228311,20010724
2011,Already registered (beginning of report period),255W,Facilities Mechanic,Voluntary,Male,154,45.4432485322896,12.4265999953185,0,146,2,6,11.0557729941292,20001212
2011,Already registered (beginning of report period),259L,Locksmith,Voluntary,Female,3,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),259L,Locksmith,Voluntary,Male,42,33.4192433137639,11.2032970244316,0,38,4,0,4.50332681017613,20070701
2011,Already registered (beginning of report period),263F,Pump Systems Installer,Voluntary,Male,5,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),267G,Composite Structures Technician,Voluntary,Male,1,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),268A,Carperson (Railway),Voluntary,Male,14,49.9381604696673,8.42208561763128,0,14,0,0,7.15381604696673,20041105
2011,Already registered (beginning of report period),268R,Railway Car Technician,Voluntary,Male,45,35.1152511415525,8.35268325504764,0,34,10,1,4.24742770167428,20071002
2011,Already registered (beginning of report period),269E,Entertainment Industry Power Technician,Voluntary,Male,2,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),274L,Automotive Glass Technician,Voluntary,Male,42,31.5086757990868,12.1005625061822,0,40,2,0,4.2003261578604,20071019
2011,Already registered (beginning of report period),277Z,Hydraulic/Pneumatic Mechanic,Voluntary,Male,30,36.6955251141553,9.25595315097266,0,29,0,1,6.44630136986301,20050722
2011,Already registered (beginning of report period),278B,Surface Blaster,Voluntary,Female,1,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),278B,Surface Blaster,Voluntary,Male,39,33.3163329820864,8.00773474852713,0,36,0,3,3.40913242009132,20080803
2011,Already registered (beginning of report period),282E,Powered Lift Truck Technician,Voluntary,Male,76,32.4845349675559,7.68694354313733,0,67,7,2,4.94614275414564,20070120
2011,Already registered (beginning of report period),288R,Relay and Instrumentation Technician,Voluntary,Male,1,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),289F,Electrician (Signal Maintenance) (TTC),Voluntary,Male,21,43.186301369863,8.32928954742218,0,15,6,0,5.20208741030659,20061019
2011,Already registered (beginning of report period),295A,Tire Wheel and Rim Mechanic,Voluntary,Male,31,31.5874502872293,10.0915575610744,0,28,0,3,5.76836058329651,20060326
2011,Already registered (beginning of report period),296A,Native Residential Construction Worker,Voluntary,Female,13,36.8474183350896,9.79930989872723,0,11,0,2,6.21707060063224,20051013
2011,Already registered (beginning of report period),296A,Native Residential Construction Worker,Voluntary,Male,48,32.3295091324201,6.0412949059385,0,44,0,4,5.1716894977169,20061030
2011,Already registered (beginning of report period),297A,Ski Lift Mechanic,Voluntary,Male,5,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),297B,Special Events Coordinator,Voluntary,Female,38,32.3124008651766,10.9362274172082,0,36,1,1,4.11665465032444,20071119
2011,Already registered (beginning of report period),297B,Special Events Coordinator,Voluntary,Male,5,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),306A,Plumber,Compulsary,Female,52,30.8619072708114,10.1501384905402,0,39,4,9,4.0986301369863,20071126
2011,Already registered (beginning of report period),306A,Plumber,Compulsary,Male,4676,28.4925225869201,7.35308778037864,0,3919,505,252,4.29831667389292,20070914
2011,Already registered (beginning of report period),307A,Steamfitter,Compulsary,Female,4,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),307A,Steamfitter,Compulsary,Male,858,31.4695724366957,7.85183197287643,0,707,126,25,4.52385924577705,20070623
2011,Already registered (beginning of report period),308A,Sheet Metal Worker,Compulsary,Female,18,29.2234398782344,4.9495196346289,0,12,5,1,4.51430745814308,20070627
2011,Already registered (beginning of report period),308A,Sheet Metal Worker,Compulsary,Male,2117,30.715492975974,7.95988239004491,0,1796,215,106,4.9155085058334,20070131
2011,Already registered (beginning of report period),308R,Residential (Low-Rise) Sheet Metal Installer,Compulsary,Male,1,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),309A,Electrician: Construction and Maintenance,Compulsary,Female,193,31.0357300021293,9.02443396806178,0,167,18,8,4.35805238129037,20070823
2011,Already registered (beginning of report period),309A,Electrician: Construction and Maintenance,Compulsary,Male,10016,28.6020671035932,7.6497187003929,0,8336,1212,468,4.32421686944724,20070904
2011,Already registered (beginning of report period),309C,Electrician: Domestic and Rural,Compulsary,Female,4,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),309C,Electrician: Domestic and Rural,Compulsary,Male,133,29.5589247090329,8.94383185887021,0,110,11,12,4.28907199505613,20070917
2011,Already registered (beginning of report period),310B,Auto Body and Collision Damage Repairer Br. 1,Compulsary,Female,42,26.0393346379648,6.59434884807143,0,41,1,0,5.58290932811481,20060602
2011,Already registered (beginning of report period),310B,Auto Body and Collision Damage Repairer Br. 1,Compulsary,Male,1433,26.9284994598935,6.81840238148678,0,1277,66,90,5.5905725128813,20060530
2011,Already registered (beginning of report period),310D,Transmission Technician,Compulsary,Female,1,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),310D,Transmission Technician,Compulsary,Male,97,33.4480723061714,9.92625732007205,0,94,1,2,7.30317751729982,20040912
2011,Already registered (beginning of report period),310E,Alignment and Brakes Technician,Compulsary,Female,4,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),310E,Alignment and Brakes Technician,Compulsary,Male,72,43.0366438356164,9.90658408984281,0,71,0,1,12.9981735159817,19990103
2011,Already registered (beginning of report period),310G,Motorcycle Technician,Compulsary,Female,5,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),310G,Motorcycle Technician,Compulsary,Male,332,29.9226770094075,9.38062830946087,0,296,24,12,5.10332563129229,20061124
2011,Already registered (beginning of report period),310J,Truck Trailer Service Technician,Compulsary,Male,226,35.5870166080737,10.0994322444491,0,208,14,4,5.58534367802158,20060601
2011,Already registered (beginning of report period),310K,Automotive Electronic Accessory Technician,Compulsary,Female,1,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),310K,Automotive Electronic Accessory Technician,Compulsary,Male,87,26.7663360100772,5.71504220866683,0,81,0,6,4.76051015588096,20070329
2011,Already registered (beginning of report period),310Q,Auto Body Repairer Br. 2,Compulsary,Female,4,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),310Q,Auto Body Repairer Br. 2,Compulsary,Male,183,30.967617336627,8.65859384634887,0,172,2,9,6.29780672206003,20050914
2011,Already registered (beginning of report period),310S,Automotive Service Technician,Compulsary,Female,374,26.3008570800674,7.14243995941754,0,342,16,16,4.31261446047909,20070908
2011,Already registered (beginning of report period),310S,Automotive Service Technician,Compulsary,Male,12121,26.7134860476497,7.2456151109624,0,10644,980,497,5.01667049036372,20061225
2011,Already registered (beginning of report period),310T,Truck and Coach Technician,Compulsary,Female,48,28.2122716894977,8.16235204616125,0,44,2,2,4.48961187214612,20070706
2011,Already registered (beginning of report period),310T,Truck and Coach Technician,Compulsary,Male,3835,29.761571681163,8.58269559024463,0,3268,456,111,4.71304173885089,20070415
2011,Already registered (beginning of report period),313A,Refrigeration and Air Conditioning Systems Mechanic,Compulsary,Female,17,29.8617244157937,6.69519340065806,0,12,2,3,5.97727639000806,20060109
2011,Already registered (beginning of report period),313A,Refrigeration and Air Conditioning Systems Mechanic,Compulsary,Male,2147,30.2611697749647,7.85205382264787,0,1764,250,133,4.66267809176232,20070504
2011,Already registered (beginning of report period),313D,Residential Air Conditioning Systems Mechanic,Compulsary,Female,3,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),313D,Residential Air Conditioning Systems Mechanic,Compulsary,Male,402,31.1995501942343,9.08319903969755,0,329,20,53,3.42368977032645,20080729
2011,Already registered (beginning of report period),332A,Hairstylist,Compulsary,Female,7725,28.6908854900918,8.7348681318753,0,6491,978,256,4.79043383428647,20070318
2011,Already registered (beginning of report period),332A,Hairstylist,Compulsary,Male,1007,31.5547142604508,9.36379352165405,0,883,100,24,5.52476500115629,20060623
2011,Already registered (beginning of report period),339A,"Hoisting Engineer: Mobile Crane Operator, Br.1",Compulsary,Female,7,37.0536203522505,12.7358851044201,0,6,0,1,5.13385518590998,20061113
2011,Already registered (beginning of report period),339A,"Hoisting Engineer: Mobile Crane Operator, Br.1",Compulsary,Male,376,33.4436971728359,9.61016392794678,0,260,72,44,5.15393471291169,20061105
2011,Already registered (beginning of report period),339B,"Hoisting Engineer: Tower Crane Operator, Br. 3",Compulsary,Female,1,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),339B,"Hoisting Engineer: Tower Crane Operator, Br. 3",Compulsary,Male,98,33.2664802907464,8.64181040757246,0,61,17,20,5.00022365110428,20061231
2011,Already registered (beginning of report period),339C,"Hoisting Engineer: Mobile Crane Operator, Br.2",Compulsary,Female,2,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),339C,"Hoisting Engineer: Mobile Crane Operator, Br.2",Compulsary,Male,108,36.5807204464739,10.0124247302803,0,105,3,0,4.27298325722983,20070923
2011,Already registered (beginning of report period),401A,Brick and Stone Mason,Voluntary,Female,15,35.5897716894977,8.36174421298089,0,14,1,0,5.29442922374429,20060915
2011,Already registered (beginning of report period),401A,Brick and Stone Mason,Voluntary,Male,1528,29.8901294556408,8.58225434525949,0,1451,43,34,4.61905974324034,20070520
2011,Already registered (beginning of report period),403A,General Carpenter,Voluntary,Female,180,28.4318112633181,8.87725289464774,0,150,6,24,4.05782343987823,20071210
2011,Already registered (beginning of report period),403A,General Carpenter,Voluntary,Male,6966,27.3195587963455,7.03775371363451,0,5866,462,638,4.22908333628308,20071009
2011,Already registered (beginning of report period),403X,General Carpenter,Voluntary,Male,1,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),404C,Painter and Decorator Branch 1 - Commercial and Residential,Voluntary,Female,20,34.6491780821918,10.0617433726462,0,19,1,0,4.36095890410959,20070822
2011,Already registered (beginning of report period),404C,Painter and Decorator Branch 1 - Commercial and Residential,Voluntary,Male,221,32.5643711646935,9.34606612130229,0,207,8,6,4.60742577325978,20070524
2011,Already registered (beginning of report period),404D,Painter and Decorator Branch 2 - Industrial,Voluntary,Female,5,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),404D,Painter and Decorator Branch 2 - Industrial,Voluntary,Male,69,30.5550129045067,7.52700216369453,0,67,1,1,3.18653960690887,20081023
2011,Already registered (beginning of report period),410K,Motive Power Machinist,Voluntary,Female,1,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),410K,Motive Power Machinist,Voluntary,Male,54,33.6373921867073,10.8860007248629,0,49,0,5,8.20436326737697,20031019
2011,Already registered (beginning of report period),410N,Automotive Painter,Voluntary,Female,9,33.2447488584475,13.470998295728,0,9,0,0,6.1062404870624,20051123
2011,Already registered (beginning of report period),410N,Automotive Painter,Voluntary,Male,148,27.9094594594595,6.44237764103555,0,134,5,9,5.39622362088116,20060809
2011,Already registered (beginning of report period),415A,Cook Br. 2,Voluntary,Female,2101,28.1084049995762,9.20669406836087,0,1915,56,130,4.90920435800304,20070203
2011,Already registered (beginning of report period),415A,Cook Br. 2,Voluntary,Male,4113,27.6995940036436,7.59249965087985,0,3727,142,244,5.33114914620865,20060902
2011,Already registered (beginning of report period),415B,Cook - Assistant Br. 1,Voluntary,Female,134,38.2506031486404,13.176084381189,0,118,7,9,4.59225107340012,20070529
2011,Already registered (beginning of report period),415B,Cook - Assistant Br. 1,Voluntary,Male,162,28.0926771520379,8.85178974080625,0,151,2,9,4.43394216133942,20070726
2011,Already registered (beginning of report period),415C,Chef,Voluntary,Female,1,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),415C,Chef,Voluntary,Male,11,31.0024906600249,5.28405347948164,0,10,1,0,2.56612702366127,20090607
2011,Already registered (beginning of report period),416E,Electronic Service Technician,Voluntary,Female,3,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),416E,Electronic Service Technician,Voluntary,Male,22,38.6229140722291,11.6887488511387,0,22,0,0,8.10946450809464,20031123
2011,Already registered (beginning of report period),419A,Cement Mason,Voluntary,Male,27,30.1936073059361,10.8829464580197,0,27,0,0,1.87732115677321,20100213
2011,Already registered (beginning of report period),420A,"Ironworker - Structural and Ornamental, Br. 2",Voluntary,Female,3,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),420A,"Ironworker - Structural and Ornamental, Br. 2",Voluntary,Male,659,30.2759847839192,7.11901339515268,0,533,114,12,4.31826137568337,20070906
2011,Already registered (beginning of report period),420B,"Ironworker - Generalist, Br. 1",Voluntary,Male,4,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),421A,Heavy Duty Equipment Technician,Voluntary,Female,25,26.9365479452055,7.63270825075434,0,24,1,0,4.4158904109589,20070802
2011,Already registered (beginning of report period),421A,Heavy Duty Equipment Technician,Voluntary,Male,1396,26.8783805000589,7.32353754318918,0,1264,95,37,4.05881775719276,20071210
2011,Already registered (beginning of report period),421C,Turf Equipment Technician,Voluntary,Male,9,30.5634703196347,9.53625657839554,0,8,0,1,5.44048706240487,20060724
2011,Already registered (beginning of report period),423A,Baker,Voluntary,Female,90,24.9072450532725,6.46420374362772,0,85,0,5,4.81132420091324,20070310
2011,Already registered (beginning of report period),423A,Baker,Voluntary,Male,47,25.9344214514719,8.44177605653294,0,47,0,0,5.35814631302827,20060823
2011,Already registered (beginning of report period),423C,Baker-Patissier,Voluntary,Female,296,27.2571825249907,7.93277986140792,0,277,10,9,4.17928544983339,20071027
2011,Already registered (beginning of report period),423C,Baker-Patissier,Voluntary,Male,110,29.4761892901619,10.0543101170956,0,102,3,5,5.33275217932752,20060901
2011,Already registered (beginning of report period),424A,Architectural Glass and Metal Technician,Voluntary,Female,6,34.6593607305936,5.91658274136854,0,5,0,1,4.61278538812785,20070522
2011,Already registered (beginning of report period),424A,Architectural Glass and Metal Technician,Voluntary,Male,550,32.0093300124533,8.73778377146828,0,514,21,15,4.83949688667497,20070228
2011,Already registered (beginning of report period),425A,Agricultural Equipment Technician,Voluntary,Female,4,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),425A,Agricultural Equipment Technician,Voluntary,Male,343,24.9997683613563,5.78919145185217,0,305,33,5,4.21235672351132,20071015
2011,Already registered (beginning of report period),426A,Construction Millwright,Voluntary,Female,7,27.0864970645793,5.1145007687774,0,6,1,0,3.42700587084149,20080728
2011,Already registered (beginning of report period),426A,Construction Millwright,Voluntary,Male,435,31.2433065658951,7.23802838919485,0,362,61,12,5.34040623523854,20060829
2011,Already registered (beginning of report period),427A,Sprinkler and Fire Protection Installer,Voluntary,Female,2,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),427A,Sprinkler and Fire Protection Installer,Voluntary,Male,361,30.8769551853679,7.55108732379335,0,299,58,4,4.59212233901264,20070529
2011,Already registered (beginning of report period),428A,Construction Boilermaker,Voluntary,Female,3,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),428A,Construction Boilermaker,Voluntary,Male,330,29.8406724782067,6.55141057991749,0,259,68,3,4.01433789954338,20071226
2011,Already registered (beginning of report period),429A,General Machinist,Voluntary,Female,79,30.8196636032599,8.14936710895701,0,70,6,3,6.04002080804578,20051217
2011,Already registered (beginning of report period),429A,General Machinist,Voluntary,Male,2564,29.4147992221059,7.70109161106235,0,2306,142,116,6.30884427157908,20050910
2011,Already registered (beginning of report period),430A,Tool and Die Maker,Voluntary,Female,37,33.9560903369123,10.864620419074,0,33,2,2,7.40858941132914,20040804
2011,Already registered (beginning of report period),430A,Tool and Die Maker,Voluntary,Male,1478,30.6183791499064,7.54421096779639,0,1352,61,65,7.21700928689269,20041013
2011,Already registered (beginning of report period),430M,Machine Tool Builder and Integrator,Voluntary,Female,2,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),430M,Machine Tool Builder and Integrator,Voluntary,Male,88,30.8120797011208,7.00438684768005,0,71,6,11,6.59361768368618,20050529
2011,Already registered (beginning of report period),431A,Mould Maker,Voluntary,Female,8,30.338698630137,4.60313178311144,0,8,0,0,7.9486301369863,20040120
2011,Already registered (beginning of report period),431A,Mould Maker,Voluntary,Male,521,30.4257197696737,7.64608811028085,0,494,4,23,8.33654983829832,20030901
2011,Already registered (beginning of report period),433A,Industrial Mechanic Millwright,Voluntary,Female,86,32.7424657534247,10.3016270562987,0,77,3,6,5.43982159923543,20060724
2011,Already registered (beginning of report period),433A,Industrial Mechanic Millwright,Voluntary,Male,4240,31.660832256397,9.45814419026343,0,3746,369,125,5.0626770483329,20061209
2011,Already registered (beginning of report period),434A,Powerline Technician,Voluntary,Female,15,28.4547945205479,7.00566772054648,0,15,0,0,4.25972602739726,20070928
2011,Already registered (beginning of report period),434A,Powerline Technician,Voluntary,Male,1331,29.0758622109239,7.25388873370446,0,1106,182,43,4.32133836954396,20070905
2011,Already registered (beginning of report period),434B,Lineworker: Construction,Voluntary,Male,1,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),435A,Small Engine Technician,Voluntary,Female,7,30.7823874755382,9.16415720821852,0,4,1,2,8.0293542074364,20031222
2011,Already registered (beginning of report period),435A,Small Engine Technician,Voluntary,Male,328,26.9064483795523,9.1631505236771,0,296,11,21,4.85950551286335,20070221
2011,Already registered (beginning of report period),435B,Marine Engine Technician,Voluntary,Female,8,24.9332191780822,4.77550895212397,0,7,0,1,3.24965753424658,20080930
2011,Already registered (beginning of report period),435B,Marine Engine Technician,Voluntary,Male,238,28.689639691493,8.23247019936218,0,213,12,13,4.5245769540693,20070623
2011,Already registered (beginning of report period),437A,Metal Fabricator (Fitter),Voluntary,Female,28,26.5954990215264,7.63963777718567,0,25,1,2,3.34041095890411,20080828
2011,Already registered (beginning of report period),437A,Metal Fabricator (Fitter),Voluntary,Male,586,27.9379961662537,7.63138616227252,0,523,38,25,4.32873439618495,20070903
2011,Already registered (beginning of report period),438A,Cabinetmaker,Voluntary,Female,52,29.0224446786091,9.04296245618564,0,50,0,2,5.05595363540569,20061211
2011,Already registered (beginning of report period),438A,Cabinetmaker,Voluntary,Male,735,27.4305991985835,7.43407195597744,0,677,26,32,5.32946416922934,20060902
2011,Already registered (beginning of report period),441C,Horticultural Technician,Voluntary,Female,232,35.4376948512045,10.9933562032644,0,216,13,3,3.97156353330184,20080111
2011,Already registered (beginning of report period),441C,Horticultural Technician,Voluntary,Male,708,28.9524920671775,7.58442301689779,0,660,33,15,4.42132961845058,20070731
2011,Already registered (beginning of report period),442A,Industrial Electrician,Voluntary,Female,87,30.1107542119351,9.47174673195222,0,81,0,6,4.47658636435207,20070711
2011,Already registered (beginning of report period),442A,Industrial Electrician,Voluntary,Male,2294,31.8299554525803,9.68208752276258,0,2077,158,59,4.79394967216443,20070317
2011,Already registered (beginning of report period),443A,Pattern Maker,Voluntary,Female,2,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),443A,Pattern Maker,Voluntary,Male,22,30.4636363636364,8.80334599258896,0,22,0,0,5.75790784557908,20060330
2011,Already registered (beginning of report period),444A,Arborist,Voluntary,Female,33,34.8606890826069,9.31746081591513,0,29,3,1,6.87438771274388,20050215
2011,Already registered (beginning of report period),444A,Arborist,Voluntary,Male,327,31.8693226090235,8.67892249355032,0,295,28,4,5.25077290436094,20061001
2011,Already registered (beginning of report period),444B,Utility Arborist,Voluntary,Female,16,28.0743150684931,4.05759977933076,0,14,0,2,2.1763698630137,20091027
2011,Already registered (beginning of report period),444B,Utility Arborist,Voluntary,Male,267,29.9440151864963,5.761519350165,0,188,68,11,2.89018521368837,20090209
2011,Already registered (beginning of report period),445A,Appliance Service Technician,Voluntary,Male,43,29.4563873845174,8.00173696466979,0,41,0,2,4.98585536795158,20070106
2011,Already registered (beginning of report period),446A,Electric Motor System Technician,Voluntary,Female,2,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),446A,Electric Motor System Technician,Voluntary,Male,32,33.7632705479452,7.24161401522769,0,29,2,1,5.96309931506849,20060114
2011,Already registered (beginning of report period),447A,Instrumentation and Control Technician,Voluntary,Female,32,29.4700342465753,6.70080780782382,0,30,2,0,3.57482876712329,20080604
2011,Already registered (beginning of report period),447A,Instrumentation and Control Technician,Voluntary,Male,291,30.8034270112508,8.78979228076219,0,264,26,1,3.51604763922233,20080625
2011,Already registered (beginning of report period),448A,Floor Covering Installer,Voluntary,Female,2,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),448A,Floor Covering Installer,Voluntary,Male,243,30.0570832628671,8.39329343540638,0,212,0,31,3.58959355093297,20080529
2011,Already registered (beginning of report period),449A,Roofer,Voluntary,Female,6,34.8305936073059,12.2058366156763,0,6,0,0,3.51917808219178,20080624
2011,Already registered (beginning of report period),449A,Roofer,Voluntary,Male,171,32.3491308179124,8.58822002297382,0,158,2,11,4.4937595129376,20070704
2011,Already registered (beginning of report period),450A,Construction Craft Worker,Voluntary,Female,40,28.1776712328767,7.66563018721398,0,36,2,2,3.42869863013699,20080727
2011,Already registered (beginning of report period),450A,Construction Craft Worker,Voluntary,Male,1869,29.038803257181,8.17231936633214,0,1678,103,88,4.18496448910486,20071025
2011,Already registered (beginning of report period),451A,"Drywall, Acoustic and Lathing Applicator",Voluntary,Female,8,31.6178082191781,11.4327403864405,0,8,0,0,4.33904109589041,20070830
2011,Already registered (beginning of report period),451A,"Drywall, Acoustic and Lathing Applicator",Voluntary,Male,1063,30.5802909831312,7.65670731473192,0,1001,44,18,4.16806917614918,20071031
2011,Already registered (beginning of report period),452A,"Reinforcing Rodworker, Br. 3",Voluntary,Female,3,x,x,x,x,x,x,x,x
2011,Already registered (beginning of report period),452A,"Reinforcing Rodworker, Br. 3",Voluntary,Male,464,31.5288320736892,7.82979051095778,0,412,50,2,4.06341521020312,20071208
2011,Already registered (beginning of report period),453A,Drywall Finisher and Plasterer,Voluntary,Female,8,37.288698630137,9.38042251119246,0,7,1,0,5.87020547945206,20060217
2011,Already registered (beginning of report period),453A,Drywall Finisher and Plasterer,Voluntary,Male,358,32.7581541287212,8.58676694446198,0,339,15,4,5.23038953087931,20061008
